bound,n_syms,n_dfas,time
70,2,6,29.521640062332153
70,2,7,35.91484785079956
70,2,8,42.91254210472107
70,2,9,51.275407791137695
70,2,10,62.97014498710632
70,3,1,0.009519100189208984
70,3,2,15.99124813079834
70,3,3,84.53010988235474
70,3,4,117.38810801506042
70,3,5,25.912874937057495
70,3,6,32.59966206550598
70,3,7,39.88951802253723
70,3,8,48.25698900222778
70,3,9,60.156742095947266
70,3,10,69.87575697898865
70,4,1,0.18639206886291504
70,4,2,46.520323038101196
70,4,3,71.58366918563843
70,4,4,18.0176260471344
70,4,5,23.736750841140747
70,4,6,30.157565116882324
70,4,7,38.31522798538208
70,4,8,45.63624095916748
70,4,9,55.34792709350586
70,4,10,67.81626009941101
80,2,1,0.0021429061889648438
80,2,2,0.46640801429748535
80,2,3,132.38146710395813
80,2,4,101.90442514419556
80,2,5,29.93687605857849
80,2,6,37.15809488296509
80,2,7,44.75095796585083
80,2,8,53.18555283546448
80,2,9,63.19485521316528
80,2,10,84.0611641407013
80,3,1,0.009824991226196289
80,3,2,19.984682083129883
80,3,3,129.13035225868225
80,3,4,168.95833492279053
80,3,5,37.05348491668701
80,3,6,52.339107275009155
80,3,7,58.37694311141968
80,3,8,68.82592630386353
80,3,9,75.14234399795532
80,3,10,90.13986110687256
80,4,1,0.17568516731262207
80,4,2,51.00868892669678
80,4,3,105.74870824813843
80,4,4,26.196896076202393
80,4,5,34.505316972732544
80,4,6,43.76752185821533
80,4,7,54.04473686218262
80,4,8,65.28951501846313
80,4,9,79.52362489700317
80,4,10,94.67156100273132
90,2,1,0.002507925033569336
90,2,2,0.4681737422943115
90,2,3,91.48998403549194
90,2,4,137.66187477111816
90,2,5,41.783738136291504
90,2,6,52.0425968170166
90,2,7,61.478697061538696
90,2,8,73.00144004821777
90,2,9,88.10974717140198
90,2,10,102.35180902481079
90,3,1,0.0076978206634521484
90,3,2,47.853777170181274
90,3,3,345.5749969482422
90,3,4,231.63507199287415
90,3,5,44.459166049957275
90,3,6,55.231311082839966
90,3,7,67.14282703399658
90,3,8,80.40009593963623
90,3,9,95.18975615501404
90,3,10,113.22411918640137
90,4,1,0.1741938591003418
90,4,2,57.06378889083862
90,4,3,144.88127303123474
90,4,4,36.02570414543152
90,4,5,47.371466875076294
90,4,6,59.4527690410614
90,4,7,73.07946300506592
90,4,8,88.70095491409302
90,4,9,105.29636812210083
90,4,10,125.92610502243042
100,2,1,0.0024061203002929688
100,2,2,0.4617030620574951
100,2,3,202.04195618629456
100,2,4,193.01091194152832
100,2,5,57.91825008392334
100,2,6,70.57311201095581
100,2,7,84.54511523246765
100,2,8,100.14160299301147
100,2,9,115.83866691589355
100,2,10,136.07043409347534
100,3,1,0.007393836975097656
100,3,2,29.535496950149536
100,3,5,60.37435221672058
100,3,6,74.63461804389954
100,3,7,94.31465291976929
100,3,8,111.57714915275574
100,3,9,127.19287991523743
100,3,10,150.16591095924377
100,4,1,0.17641997337341309
100,4,2,132.12613821029663
100,4,3,200.9273042678833
100,4,4,48.59043574333191
100,4,5,63.597277879714966
100,4,6,79.66897511482239
100,4,7,100.93128299713135
100,4,8,117.81382822990417
100,4,9,138.8259720802307
100,4,10,175.86937499046326
